1.00000	0.66642	0.57656	0.57466	0.56941	0.56747	0.56027	0.55422	0.55295	0.55222	0.54580	0.54434	0.54003	0.53658	0.53167	0.53011	-0.52579	0.52530	0.52359	0.51866	0.51628	0.51614	0.51609	0.51384	0.51092	0.50877	0.50775	-0.50268	-0.50225	0.50199	0.49966	0.49864	0.49321	0.49267	0.49263	0.49110	0.48882	0.48776	0.48708	0.48698	-0.48299	-0.48209	0.48104	0.48041	-0.48012	-0.47930	0.47848	0.47774	0.47649	0.47629	0.47575
0.66642	1.00000	0.59483	0.55799	0.47188	0.50596	0.30672	0.25220	0.47682	0.18854	0.15483	0.22818	0.57265	0.30960	0.18635	0.39892	-0.50441	0.46281	0.39161	0.53046	0.30190	0.37675	0.24092	0.15867	0.55553	0.49007	0.26220	-0.34913	-0.30736	0.39185	0.26902	0.41000	0.15107	0.12967	0.22327	0.21750	0.40637	0.17018	0.39319	0.34148	-0.40436	-0.34418	0.09024	0.43505	-0.29611	-0.23631	0.33278	0.15947	0.45892	0.46706	0.38431
0.57656	0.59483	1.00000	0.71303	0.75214	0.52307	0.29469	0.22410	0.65088	0.32117	0.16466	0.36901	0.57456	0.37089	0.16863	0.49516	-0.47971	0.39032	0.46300	0.54468	0.36973	0.39479	0.25376	0.13414	0.47887	0.65631	0.29093	-0.32512	-0.32905	0.62736	0.35627	0.43863	0.12747	0.06918	0.33958	0.25122	0.43918	0.16145	0.39793	0.45341	-0.39461	-0.40928	0.14369	0.49455	-0.19771	-0.33853	0.31597	0.18390	0.51736	0.51797	0.53968
0.57466	0.55799	0.71303	1.00000	0.57381	0.45904	0.15128	0.11943	0.49513	0.36012	0.07748	0.35706	0.55625	0.40681	0.09692	0.41140	-0.28747	0.44979	0.42162	0.31894	0.34382	0.42733	0.13721	-0.00262	0.50366	0.60002	0.26626	-0.28769	-0.19109	0.56507	0.26613	0.30167	0.05309	0.07757	0.29120	0.16773	0.34023	0.09813	0.44163	0.33692	-0.30725	-0.21219	0.04009	0.27278	-0.16190	-0.17759	0.17849	0.14451	0.26561	0.55933	0.36114
0.56941	0.47188	0.75214	0.57381	1.00000	0.52696	0.30882	0.31781	0.56455	0.40880	0.30896	0.46647	0.49161	0.41554	0.32923	0.45217	-0.43416	0.41295	0.46912	0.53209	0.43427	0.42330	0.38828	0.31557	0.43236	0.61667	0.35492	-0.27448	-0.37021	0.59807	0.39889	0.42360	0.25477	0.16796	0.38709	0.28927	0.46850	0.26021	0.36267	0.43570	-0.43220	-0.46371	0.31927	0.40598	-0.25384	-0.37218	0.25749	0.31678	0.41840	0.44577	0.48297
0.56747	0.50596	0.52307	0.45904	0.52696	1.00000	0.34062	0.27975	0.57054	0.37106	0.23434	0.38388	0.50630	0.30180	0.30629	0.50349	-0.46064	0.40370	0.34418	0.60514	0.51993	0.30915	0.34456	0.23384	0.75226	0.52919	0.22236	-0.39224	-0.39251	0.40599	0.30784	0.51427	0.16532	0.26856	0.21735	0.21054	0.36116	0.18038	0.30010	0.49472	-0.49488	-0.37810	0.17722	0.57990	-0.31677	-0.37768	0.39877	0.26488	0.57041	0.32180	0.45455
0.56027	0.30672	0.29469	0.15128	0.30882	0.34062	1.00000	0.62876	0.26725	0.49684	0.70318	0.37962	0.26295	0.22783	0.63956	0.33406	-0.35596	0.34368	0.25242	0.38571	0.40862	0.25183	0.51915	0.66949	0.12108	0.23765	0.49391	-0.32907	-0.50094	0.24600	0.32927	0.48700	0.61417	0.51801	0.46878	0.48121	0.22359	0.58865	0.35863	0.34094	-0.31580	-0.42868	0.55558	0.39683	-0.30961	-0.53436	0.56812	0.40297	0.36089	0.26430	0.44456
0.55422	0.25220	0.22410	0.11943	0.31781	0.27975	0.62876	1.00000	0.19056	0.43963	0.81131	0.54385	0.25404	0.37493	0.72754	0.23857	-0.36280	0.25528	0.23162	0.35310	0.32142	0.23298	0.73247	0.77720	0.15283	0.13021	0.52586	-0.34625	-0.48847	0.24722	0.41851	0.32801	0.75595	0.62305	0.57234	0.53368	0.23049	0.75817	0.40752	0.24269	-0.26433	-0.46303	0.83207	0.31440	-0.52479	-0.43690	0.36870	0.59161	0.27375	0.34449	0.33953
0.55295	0.47682	0.65088	0.49513	0.56455	0.57054	0.26725	0.19056	1.00000	0.36990	0.17688	0.37358	0.49869	0.54083	0.17501	0.68064	-0.50725	0.43631	0.54586	0.57718	0.49705	0.45892	0.29651	0.16798	0.51485	0.51748	0.30453	-0.38975	-0.34789	0.40635	0.46632	0.48495	0.17581	0.16009	0.25325	0.36559	0.43415	0.15417	0.32726	0.64094	-0.41460	-0.41607	0.15842	0.54886	-0.12404	-0.38179	0.18980	0.24154	0.58159	0.36346	0.51018
0.55222	0.18854	0.32117	0.36012	0.40880	0.37106	0.49684	0.43963	0.36990	1.00000	0.47805	0.56948	0.28116	0.54755	0.51565	0.51935	-0.25091	0.40958	0.42133	0.20738	0.64081	0.32021	0.46066	0.41484	0.25219	0.34285	0.53706	-0.33102	-0.26258	0.42593	0.34171	0.36309	0.42399	0.39873	0.57524	0.47802	0.29646	0.45312	0.40029	0.52973	-0.22168	-0.32122	0.42139	0.20630	-0.20153	-0.49038	0.25748	0.45709	0.15104	0.32695	0.34806
