-92.00750	1	2
-106.44288	1	3
-106.70179	1	4
-107.40648	1	5
-107.66410	1	6
-108.60547	1	7
-109.37763	1	8
-109.53879	1	9
-109.63057	1	10
-110.42771	1	11
-110.60732	1	12
-111.13018	1	13
-111.54426	1	14
-112.12465	1	15
-112.30712	1	16
-112.80691	1	17
-112.86329	1	18
-113.05862	1	19
-113.61659	1	20
-113.88293	1	21
-113.89884	1	22
-113.90460	1	23
-114.15373	1	24
-114.47479	1	25
-114.70874	1	26
-114.82026	1	27
-115.36464	1	28
-115.41051	1	29
-115.43749	1	30
-115.68444	1	31
-115.79116	1	32
-116.35679	1	33
-116.41279	1	34
-116.41666	1	35
-116.57373	1	36
-116.80678	1	37
-116.91415	1	38
-116.98312	1	39
-116.99323	1	40
-117.39371	1	41
-117.48395	1	42
-117.58755	1	43
-117.65018	1	44
-117.67839	1	45
-117.75958	1	46
-117.84092	1	47
-117.91338	1	48
-118.03526	1	49
-118.05443	1	50
-118.10788	1	51
